,company_name,location,classification,revenue
444,,"MEMPHIS, TN",Fund Raising and/or Fund Distribution,
445,,"FAYETTEVILLE, TN",Alumni Associations,
446,,"FAYETTEVILLE, TN","Adult, Continuing Education","$15,094"
447,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12","$103,175"
448,,"LOBELVILLE, TN",Education N.E.C.,
449,,"ERWIN, TN",Parent/Teacher Group,
450,,"COLUMBIA, TN",Fund Raising and/or Fund Distribution,
451,,"LAKELAND, TN",Fund Raising and/or Fund Distribution,
452,,"LAFAYETTE, TN",Single Organization Support,
453,,"HUNTINGDON, TN","Scholarships, Student Financial Aid Services, Awards",
454,,"GOODLETTSVLLE, TN",Single Organization Support,"$54,823"
455,,"LEWISBURG, TN",Single Organization Support,"$52,354"
456,,"WESTMORELAND, TN","Scholarships, Student Financial Aid Services, Awards",
457,,"COLUMBIA, TN","Student Services, Organizations of Students",
458,,"MEMPHIS, TN",Parent/Teacher Group,
459,,"LEBANON, TN","Primary, Elementary Schools","$371,765"
460,,"CHATTANOOGA, TN",Alliance/Advocacy Organizations,
461,,"MC KENZIE, TN",Single Organization Support,"$9,472"
462,,"MC KENZIE, TN",Educational Services and Schools - Other,
463,,"WHITE BLUFF, TN","Scholarships, Student Financial Aid Services, Awards",
464,,"MEMPHIS, TN","Adult, Continuing Education",
465,,"MEMPHIS, TN","Graduate, Professional Schools (Separate Entities) (B54Z)","$16,524,013"
466,,"ATHENS, TN",Single Organization Support,
467,,"MEMPHIS, TN",Education N.E.C.,
468,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$24,582,080"
469,,"COLLIERVILLE, TN","Adult, Continuing Education",
470,,"MEMPHIS, TN",Educational Services and Schools - Other,"$5,955,711"
471,,"MEMPHIS, TN",Alliance/Advocacy Organizations,"$14,342"
472,,"MEMPHIS, TN",Alliance/Advocacy Organizations,"$856,155"
473,,"MEMPHIS, TN","Professional Societies, Associations",
474,,"MEMPHIS, TN","Vocational, Technical Schools","$453,757"
475,,"MEMPHIS, TN",Education N.E.C.,"$10,468,134"
476,,"HENDERSONVLLE, TN",Parent/Teacher Group,"$52,323"
477,,"MEMPHIS, TN",Undergraduate College (4-year),"$1,679,092"
478,,"GERMANTOWN, TN",Nonmonetary Support N.E.C.,
479,,"MURFREESBORO, TN",Educational Services and Schools - Other,"$396,420"
480,,"MURFREESBORO, TN","Scholarships, Student Financial Aid Services, Awards",
481,,"MADISON, TN","Graduate, Professional Schools (Separate Entities)","$7,937,391"
482,,"MEMPHIS, TN","Adult, Continuing Education",
483,,"MEMPHIS, TN",Educational Services and Schools - Other,"$45,000"
484,,"MUNFORD, TN",Single Organization Support,"$95,154"
485,,"NEWPORT, TN","Scholarships, Student Financial Aid Services, Awards",
486,,"PARIS, TN",Nonmonetary Support N.E.C.,
487,,"MC DONALD, TN","Adult, Continuing Education",
488,,"KNOXVILLE, TN",Management & Technical Assistance,"$136,447"
489,,"MEMPHIS, TN",Alumni Associations,
490,,"MEMPHIS, TN",Single Organization Support,
491,,"BRENTWOOD, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$4,466,395"
492,,"FRANKLIN, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$918,831"
493,,"LYNCHBURG, TN",Single Organization Support,
494,,"MOUNT JULIET, TN",Single Organization Support,"$127,564"
495,,"KNOXVILLE, TN",Parent/Teacher Group,
496,,"MT PLEASANT, TN",Alliance/Advocacy Organizations,
497,,"TRACY CITY, TN",Education N.E.C.,
498,,"MOUNT JULIET, TN",Single Organization Support,
499,,"MEMPHIS, TN",Educational Services and Schools - Other,"$496,129"
500,,"MUNFORD, TN",Single Organization Support,"$266,232"
501,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12","$3,577,988"
502,,"NEW TAZEWELL, TN",Alliance/Advocacy Organizations,
503,,"HARTSVILLE, TN","Adult, Continuing Education","$180,886"
504,,"MT JULIET, TN","Professional Societies, Associations",
505,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12 (B29)","$10,847,605"
506,,"NASHVILLE, TN","Primary, Elementary Schools","$1,234,267"
507,,"NASHVILLE, TN",Education N.E.C.,
508,,"MOUNT JULIET, TN","Student Sororities, Fraternities",$184
509,,"KNOXVILLE, TN",Education N.E.C.,
510,,"ALCOA, TN","Professional Societies, Associations",$533
511,,"CHATTANOOGA, TN",Education N.E.C.,"$243,237"
512,,"BRENTWOOD, TN","Professional Societies, Associations",
513,,"MURFREESBORO, TN",Education N.E.C.,"$1,773,356"
514,,"ATHENS, TN",Alliance/Advocacy Organizations,
515,,"NASHVILLE, TN","Adult, Continuing Education",
516,,"RIPLEY, TN",Educational Services and Schools - Other,
517,,"NASHVILLE, TN",Alliance/Advocacy Organizations,
518,,"FRANKLIN, TN",Higher Education Institutions,"$515,895"
519,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12","$8,286,801"
520,,"KIMBERLIN HGT, TN",Parent/Teacher Group,
521,,"NASHVILLE, TN",Education N.E.C.,"$604,749"
522,,"NASHVILLE, TN",Nonmonetary Support N.E.C.,
523,,"ATHENS, TN",Fund Raising and/or Fund Distribution,
524,,"KODAK, TN",Single Organization Support,
525,,"NASHVILLE, TN",Single Organization Support,
526,,"BARTLETT, TN",Parent/Teacher Group,"$56,313"
527,,"OAK RIDGE, TN",Single Organization Support,
528,,"OAK RIDGE, TN","Adult, Continuing Education","$95,457"
529,,"MURFREESBORO, TN",Single Organization Support,"$124,174"
530,,"OLIVER SPGS, TN",Fund Raising and/or Fund Distribution,
531,,"MARYVILLE, TN",Educational Services and Schools - Other,
532,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12",
533,,"COLUMBIA, TN",Single Organization Support,
534,,"NASHVILLE, TN",Single Organization Support,
535,,"NASHVILLE, TN",Single Organization Support,
536,,"KNOXVILLE, TN",Single Organization Support,
537,,"MURFREESBORO, TN",Single Organization Support,"$186,163"
538,,"COLLIERVILLE, TN",Single Organization Support,
539,,"BRENTWOOD, TN",Single Organization Support,"$175,984"
540,,"KINGSPORT, TN",Single Organization Support,
541,,"ONEIDA, TN",Single Organization Support,
542,,"SMYRNA, TN",Single Organization Support,
543,,"CORRYTON, TN",Single Organization Support,
544,,"NOLENSVILLE, TN",Parent/Teacher Group,"$156,684"
545,,"FRANKLIN, TN",Parent/Teacher Group,"$88,026"
546,,"FRANKLIN, TN",Parent/Teacher Group,"$50,968"
547,,"FRANKLIN, TN","Student Services, Organizations of Students",
548,,"LIVINGSTON, TN",Single Organization Support,
549,,"NASHVILLE, TN","Student Services, Organizations of Students",
550,,"DECATUR, TN","Adult, Continuing Education",
551,,"WHITE HOUSE, TN",Single Organization Support,
552,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$81,343"
553,,"CORDOVA, TN","Scholarships, Student Financial Aid Services, Awards",
554,,"KNOXVILLE, TN",Community or Junior Colleges,"$1,042,268"
555,,"BRENTWOOD, TN",Alumni Associations,
556,,"NASHVILLE, TN","Student Services, Organizations of Students","$722,938"
557,,"NASHVILLE, TN","Student Services, Organizations of Students",
558,,"NASHVILLE, TN","Student Sororities, Fraternities",
559,,"MEMPHIS, TN","Professional Societies, Associations",
560,,"MARTIN, TN","Student Sororities, Fraternities",
561,,"CLARKSVILLE, TN",Parent/Teacher Group,
562,,"NASHVILLE, TN","Vocational, Technical Schools","$1,719,621"
563,,"PORTLAND, TN",Single Organization Support,
564,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,
565,,"STRAW PLAINS, TN",Fund Raising and/or Fund Distribution,
566,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$6,428,391"
567,,"JOHNSON CITY, TN","Elementary, Secondary Education, K - 12","$10,009,761"
568,,"CHATTANOOGA, TN","Professional Societies, Associations",
569,,"HIXSON, TN",Parent/Teacher Group,
570,,"LOOKOUT MTN, TN",Parent/Teacher Group,"$478,455"
571,,"KINGSPORT, TN",Parent/Teacher Group,
572,,"CORRYTON, TN",Single Organization Support,
573,,"MEMPHIS, TN",Parent/Teacher Group,
574,,"SODDY DAISY, TN",Parent/Teacher Group,
575,,"JOHNSON CITY, TN",Single Organization Support,
576,,"WATERTOWN, TN",Single Organization Support,
577,,"COOKEVILLE, TN",Single Organization Support,
578,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards","$93,621"
579,,"COOKEVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
580,,"CLEVELAND, TN","Scholarships, Student Financial Aid Services, Awards","$35,195"
581,,"KNOXVILLE, TN",Educational Services and Schools - Other,
582,,"NASHVILLE, TN",Education N.E.C.,
583,,"GALLATIN, TN",Higher Education Institutions,"$432,269"
584,,"CHATTANOOGA, TN",Fund Raising and/or Fund Distribution,
585,,"ATHENS, TN",Parent/Teacher Group,
586,,"GOODLETTSVLLE, TN",Fund Raising and/or Fund Distribution,
587,,"FRANKLIN, TN","Scholarships, Student Financial Aid Services, Awards",
588,,"MILLINGTON, TN",Educational Services and Schools - Other,
589,,"PARIS, TN","Scholarships, Student Financial Aid Services, Awards",
590,,"MEMPHIS, TN",Parent/Teacher Group,"$88,597"
591,,"NASHVILLE, TN","Adult, Continuing Education",
592,,"RIPLEY, TN","Scholarships, Student Financial Aid Services, Awards",
593,,"MURFREESBORO, TN","Secondary, High School","$67,213"
594,,"GOODLETTSVLLE, TN","Elementary, Secondary Education, K - 12",
595,,"WHITE HOUSE, TN",Single Organization Support,"$29,065"
596,,"ROCKVALE, TN","Secondary, High School",
597,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,
598,,"CLARKSVILLE, TN",Parent/Teacher Group,"$84,132"
599,,"LEWISBURG, TN","Scholarships, Student Financial Aid Services, Awards",
600,,"SMYRNA, TN","Adult, Continuing Education",
601,,"RUTLEDGE, TN",Parent/Teacher Group,
602,,"MURFREESBORO, TN",Parent/Teacher Group,"$105,274"
603,,"MEMPHIS, TN",Education N.E.C.,
604,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
605,,"MURFREESBORO, TN",Parent/Teacher Group,"$77,723"
606,,"MILLINGTON, TN","Scholarships, Student Financial Aid Services, Awards","$64,227"
607,,"MEMPHIS, TN",Nonmonetary Support N.E.C.,
608,,"MEMPHIS, TN","Graduate, Professional Schools (Separate Entities)","$1,748,041"
609,,"MURFREESBORO, TN",Education N.E.C.,
610,,"SEVIERVILLE, TN",Educational Services and Schools - Other,
611,,"CLARKSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
612,,"HILHAM, TN","Student Services, Organizations of Students",
613,,"SHADY VALLEY, TN",Fund Raising and/or Fund Distribution,
614,,"MURFREESBORO, TN","Scholarships, Student Financial Aid Services, Awards",
615,,"MURFREESBORO, TN",Education N.E.C.,"$120,717"
616,,"MURFREESBORO, TN",Single Organization Support,
617,,"GERMANTOWN, TN","Student Sororities, Fraternities",
618,,"NASHVILLE, TN",Educational Services and Schools - Other,"$849,064"
619,,"CLEVELAND, TN",Undergraduate College (4-year),"$108,753,431"
620,,"SIGNAL MTN, TN","Primary, Elementary Schools","$69,278"
621,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12",
622,,"CHATTANOOGA, TN",Specialized Education Institutions,"$2,724,481"
623,,"NASHVILLE, TN","Professional Societies, Associations","$417,262"
624,,"BRENTWOOD, TN","Scholarships, Student Financial Aid Services, Awards",
625,,"CARTHAGE, TN","Adult, Continuing Education",
626,,"CARTHAGE, TN",Single Organization Support,"$36,847"
627,,"MARYVILLE, TN",Fund Raising and/or Fund Distribution,
628,,"KINGSPORT, TN",Alumni Associations,
629,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
630,,"KNOXVILLE, TN",Parent/Teacher Group,
631,,"NASHVILLE, TN","Professional Societies, Associations",
632,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$130,502"
633,,"MEMPHIS, TN","Graduate, Professional Schools (Separate Entities)","$28,598,801"
634,,"NASHVILLE, TN","Professional Societies, Associations",
635,,"TRACY CITY, TN","Scholarships, Student Financial Aid Services, Awards",
636,,"LEBANON, TN",Parent/Teacher Group,
637,,"NASHVILLE, TN","Professional Societies, Associations",
638,,"CHATTANOOGA, TN",Alumni Associations,
639,,"SPRING HILL, TN",Parent/Teacher Group,"$34,470"
640,,"COLLIERVILLE, TN",Fund Raising and/or Fund Distribution,"$2,932,779"
641,,"NASHVILLE, TN",Parent/Teacher Group,
642,,"JOHNSON CITY, TN",Alliance/Advocacy Organizations,
643,,"HENDERSONVLLE, TN",Alliance/Advocacy Organizations,"$41,423"
644,,"GALLATIN, TN",Parent/Teacher Group,
645,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
646,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
647,,"HOHENWALD, TN",Educational Services and Schools - Other,
648,,"SMYRNA, TN",Single Organization Support,
649,,"DRESDEN, TN",Education N.E.C.,
650,,"TOWNSEND, TN",Educational Services and Schools - Other,
651,,"KINGSPORT, TN","Remedial Reading, Reading Encouragement","$125,663"
652,,"BLUFF CITY, TN",Parent/Teacher Group,
653,,"THOMPSONS STN, TN",Fund Raising and/or Fund Distribution,
654,,"SUNBRIGHT, TN",Parent/Teacher Group,
655,,"BRENTWOOD, TN",Parent/Teacher Group,"$105,980"
656,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
657,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
658,,"PULASKI, TN","Scholarships, Student Financial Aid Services, Awards",
659,,"NASHVILLE, TN",Management & Technical Assistance,
660,,"KNOXVILLE, TN","Student Services, Organizations of Students",
661,,"MOUNT JULIET, TN",Education N.E.C.,
662,,"KNOXVILLE, TN","Professional Societies, Associations",
663,,"MEMPHIS, TN",Education N.E.C.,"$356,973"
664,,"BRENTWOOD, TN",Parent/Teacher Group,
665,,"KNOXVILLE, TN","Student Sororities, Fraternities","$321,420"
666,,"KINGSPORT, TN",Education N.E.C.,
667,,"GALLATIN, TN",Education N.E.C.,"$12,417"
668,,"HENDERSONVLLE, TN","Adult, Continuing Education","$198,884"
669,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
670,,"CLEVELAND, TN","Elementary, Secondary Education, K - 12","$1,342,315"
671,,"NASHVILLE, TN",Alliance/Advocacy Organizations,"$73,096"
672,,"MANCHESTER, TN",Management & Technical Assistance,
673,,"NASHVILLE, TN",Education N.E.C.,
674,,"LAWRENCEBURG, TN","Scholarships, Student Financial Aid Services, Awards","$135,076"
675,,"HELENWOOD, TN",Nonmonetary Support N.E.C.,
676,,"KNOXVILLE, TN",Education N.E.C.,"$44,136"
677,,"BRENTWOOD, TN",Single Organization Support,
678,,"KNOXVILLE, TN",Education N.E.C.,
679,,"OAK RIDGE, TN",Education N.E.C.,
680,,"JACKSON, TN","Professional Societies, Associations","$20,099"
681,,"DYERSBURG, TN","Professional Societies, Associations","$101,755"
682,,"SMYRNA, TN","Scholarships, Student Financial Aid Services, Awards",
683,,"NASHVILLE, TN","Professional Societies, Associations",
684,,"KNOXVILLE, TN","Adult, Continuing Education",
685,,"NASHVILLE, TN","Professional Societies, Associations",
686,,"KNOXVILLE, TN","Adult, Continuing Education","$4,806"
687,,"NASHVILLE, TN",Single Organization Support,"$190,864"
688,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
689,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
690,,"BLUFF CITY, TN",Fund Raising and/or Fund Distribution,"$746,563"
691,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
692,,"WINCHESTER, TN","Scholarships, Student Financial Aid Services, Awards","$180,209"
693,,"RIVES, TN","Professional Societies, Associations",
694,,"NASHVILLE, TN",Alumni Associations,"$628,182"
695,,"DRESDEN, TN",Education N.E.C.,"$173,093"
696,,"MEDINA, TN","Remedial Reading, Reading Encouragement",
697,,"THOMPSONS STN, TN",Parent/Teacher Group,"$29,024"
698,,"FRANKLIN, TN",Educational Services and Schools - Other,
699,,"SMYRNA, TN",Parent/Teacher Group,
700,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
701,,"NASHVILLE, TN","Professional Societies, Associations",
702,,"JOHNSON CITY, TN",Single Organization Support,
703,,"KNOXVILLE, TN",Education N.E.C.,
704,,"MADISON, TN",Educational Services and Schools - Other,"$284,741"
705,,"BLOUNTVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$1,901,700"
706,,"FRANKLIN, TN",Single Organization Support,"$130,172"
707,,"ANTIOCH, TN","Scholarships, Student Financial Aid Services, Awards",
708,,"HARTSVILLE, TN",Single Organization Support,"$28,270"
709,,"CLARKSVILLE, TN","Professional Societies, Associations",
710,,"MAYNARDVILLE, TN",Single Organization Support,
711,,"NASHVILLE, TN",Parent/Teacher Group,
712,,"BARTLETT, TN","Scholarships, Student Financial Aid Services, Awards",
713,,"ERWIN, TN",Parent/Teacher Group,
714,,"CULLEOKA, TN","Scholarships, Student Financial Aid Services, Awards",
715,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
716,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
717,,"MEMPHIS, TN","Remedial Reading, Reading Encouragement",
718,,"MEMPHIS, TN",Parent/Teacher Group,
719,,"MEMPHIS, TN",Nonmonetary Support N.E.C.,"$1,236,519"
720,,"NASHVILLE, TN",Alumni Associations,
721,,"NASHVILLE, TN",University or Technological Institute,"$35,334,908"
722,,"KNOXVILLE, TN","Student Services, Organizations of Students",
723,,"KNOXVILLE, TN",Management & Technical Assistance,
724,,"RICEVILLE, TN","Elementary, Secondary Education, K - 12","$402,614"
725,,"BRISTOL, TN",Parent/Teacher Group,
726,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$1,648,675"
727,,"FRANKLIN, TN","Primary, Elementary Schools","$920,376"
728,,"KNOXVILLE, TN","Graduate, Professional Schools (Separate Entities) (B5XI)","$18,212"
729,,"SPRINGFIELD, TN","Elementary, Secondary Education, K - 12",
730,,"KNOXVILLE, TN","Student Sororities, Fraternities",
731,,"MURFREESBORO, TN",Parent/Teacher Group,
732,,"NASHVILLE, TN",Parent/Teacher Group,
733,,"WATERTOWN, TN",Single Organization Support,
734,,"LA VERGNE, TN",Education N.E.C.,
735,,"DRESDEN, TN",Single Organization Support,
736,,"MARYVILLE, TN","Elementary, Secondary Education, K - 12 (B22Z)","$208,534"
737,,"COLLIERVILLE, TN",Single Organization Support,
738,,"NASHVILLE, TN",Single Organization Support,
739,,"MOSHEIM, TN",Parent/Teacher Group,
740,,"FRANKLIN, TN",Nonmonetary Support N.E.C.,"$143,408"
741,,"MORRISTOWN, TN",Educational Services and Schools - Other,"$39,827"
742,,"KNOXVILLE, TN",Single Organization Support,
743,,"KNOXVILLE, TN",Single Organization Support,"$17,333"
744,,"BLOUNTVILLE, TN",Parent/Teacher Group,
745,,"ELIZABETHTON, TN",Parent/Teacher Group,
746,,"READYVILLE, TN",Parent/Teacher Group,
747,,"ATHENS, TN",Parent/Teacher Group,
748,,"SPARTA, TN",Single Organization Support,"$3,402"
749,,"WHITE HOUSE, TN",Parent/Teacher Group,"$33,270"
750,,"WHITE HOUSE, TN",Single Organization Support,
751,,"MEMPHIS, TN",Fund Raising and/or Fund Distribution,
752,,"MEMPHIS, TN",Single Organization Support,
753,,"COLUMBIA, TN","Elementary, Secondary Education, K - 12",
754,,"ANTIOCH, TN",Alumni Associations,
755,,"MEMPHIS, TN",Educational Services and Schools - Other,"$1,349,850"
