name,address,city,zipcode,classification_codes,tax_period,asset_amount,income_amount,revenue_amount,ntee_code
FORT SANDERS SCHOOL PTO,501 21ST ST SW,KNOXVILLE,37916-1707,2000,7/1/20,0,0,0,B94
FOUNDATION FOR CHRISTIAN EDUCATION SCHOLARSHIPS,PO BOX 150981,NASHVILLE,37215-0981,1000,12/1/22,0,0,0,B82
FOUNDATION FOR THE BENTON COUNTY LIBRARY,1041 S CREEK RD,BIG SANDY,38221-5094,2000,12/1/22,0,0,0,B11
FOUNDATION OF THE TENNESSEE ASSOCIATION OF ANDIOLOGISTS & SPEE,1073 WILSHIRE WAY,BRENTWOOD,37027-7485,1200,12/1/22,0,0,0,B82
FOUNDATIONS CHRISTIAN ACADEMY INC,PO BOX 681028,FRANKLIN,37068-1028,1000,6/1/22,222374,445450,445450,B90
FPS PARENT TEACHER ORGANIZATION,509 N CAMPBELL STATION RD,FARRAGUT,37934-2602,2000,6/1/22,31128,147911,129765,B94
FRANKLIN JUSTICE AND EQUITY COALITION,1336 COLEMAN RD,FRANKLIN,37064-7451,1200,,,,,B01
FRANKLIN ROAD ACADEMY INC,4700 FRANKLIN PIKE,NASHVILLE,37220-1136,2000,6/1/22,57542680,32720056,31732934,B24Z
FRAYSER COMMUNITY SCHOOLS,1530 DELLWOOD AVE,MEMPHIS,38127-7265,2000,6/1/22,9668254,16948516,16948516,B29
FREEDOM CHRISTIAN ACADEMY INC,PO BOX 6010,KNOXVILLE,37914-0010,7200,,,,,B20
FRIENDS OF CHATTANOOGA PREP INC,800 MARKET ST STE 200,CHATTANOOGA,37402-2677,2000,6/1/22,13976091,1097526,1097526,B19
FRIENDS OF DAVID CROCKETT BIRTHPLACE STATE PARK,1245 DAVY CROCKETT PARK RD,LIMESTONE,37681-5825,2000,,,,,B11
FRIENDS OF KODAK LIBRARY,319 W DUMPLIN VALLEY RD,KODAK,37764-1939,1200,3/1/22,0,0,0,B70
FRIENDS OF LITERACY INC,PO BOX 3158,KNOXVILLE,37927-3158,2000,12/1/21,212789,273934,263825,B92Z
FRIENDS OF THE ADAMS MEMORIAL LIBRARY,212 COLLEGE ST,WOODBURY,37190-1402,2000,10/1/22,0,0,0,B71I
FRIENDS OF THE COLLEGE GROVE COMMUNITY LIBRARY,8607 HORTON HWY,COLLEGE GROVE,37046-9163,1200,12/1/22,0,0,0,B117
FRIENDS OF THE FAIRVIEW LIBRARY,2240 FAIRVIEW BLVD,FAIRVIEW,37062-9048,1000,12/1/22,0,0,0,B117
FRIENDS OF THE LAWRENCE CO PUBLIC LIBRARY,2286 GRANDVIEW DR,LAWRENCEBURG,38464-6969,1000,12/1/22,0,0,0,B117
FRIENDS OF THE LEWIS COUNTY PUBLIC LIBRARY,15 KYLE AVE,HOHENWALD,38462-1434,1230,4/1/22,0,0,0,B70
FRIENDS OF THE LIBRARY,220 S JEFFERSON ST,SHELBYVILLE,37160-4072,2000,7/1/22,0,0,0,B92
FRIENDS OF THE MADISONVILLE LIBRARY INC,240 HOUSTON ST,MADISONVILLE,37354-1575,1000,12/1/22,0,0,0,B70
FRIENDS OF THE TELLICO PLAINS LIBRARY,PO BOX 658,TELLICO PLNS,37385-0658,1200,12/1/22,0,0,0,B11
FRIENDS OF THE WESTMORELAND PUBLIC LIBRARY,PO BOX 685,WESTMORELAND,37186-0685,2000,12/1/22,0,0,0,B70
FULTON HIGH SCHOOL ALUMNI ASSOCIATION,PO BOX 27431,KNOXVILLE,37927-7431,1000,8/1/22,0,0,0,B90
FUSION HOMESCHOOLING INC,7329 APPOMATTOX DR,MURFREESBORO,37130-8773,1200,,,,,B90
GAIL YATES FOUNDATION,239 WHITE BRIDGE PIKE STE 13,NASHVILLE,37209-3281,1000,12/1/22,0,0,0,B82
GAINESBORO ELEMENTARY SCHOOL PTO,PO BOX 443,GAINESBORO,38562-0443,1200,7/1/22,0,0,0,B94
GALLATIN NOON ROTARY FOUNDATION,PO BOX 182,GALLATIN,37066-0182,2000,6/1/22,205232,81825,81425,B82
GAMMA IOTA CHAPTER OF KAPPA DELTA HOUSE CORPORATION,3205 PLAYERS LN,MEMPHIS,38125-8897,1000,6/1/20,12887,6246,6246,B83
GATEWAY UNIVERSITY,162 SANDPIPER CIR,HENDERSONVLLE,37075-1404,1200,6/1/19,479388,2244426,2213115,B29
GERMANTOWN HIGH SCHOOL PTSO,7653 POPLAR PIKE,GERMANTOWN,38138-5967,1200,,,,,B94
GIVE901 INC,1350 CONCOURSE AVE STE 463,MEMPHIS,38104-2027,1000,12/1/19,3702,14500,14500,B11
GLOBAL EXCEL TN,7705 LEGENDS WAY,CHATTANOOGA,37421-7101,1200,12/1/16,7800,0,0,B90
GLOBAL PRESCHOOL ACADEMY,5235 MARTIN EDWARDS PL,MEMPHIS,38116-9113,1230,12/1/22,656403,1230169,1230169,B21
GLORY HOUSE MINISTRIES INC,1313 BEAR CT,CLARKSVILLE,37042-6753,1250,,,,,B90
GODDARD FOUNDATION,8706 RIVER HOLLOW DR,CORDOVA,38016-1659,1000,9/1/22,708190,123691,,B82
GOLF CLUB OF TENNESSEE,1000 GOLF CLUB DR,KINGSTON SPGS,37082-8193,1000,12/1/21,25072540,9251782,8179428,B820
GOODLETTSVILLE CLASSICAL ACADEMY,107 TGT RD,PORTLAND,37148-0000,1270,,,,,B99
GOODLETTSVILLE HIGH SCHOOL ALUMNI ASSOCIATION,3708 W END AVE,NASHVILLE,37205-2405,1000,8/1/22,0,0,0,B82
GRACE CHRISTIAN ACADEMY OF LEIPERS FORK,3279 SOUTHALL RD,FRANKLIN,37064-6240,1000,12/1/21,13205586,11965290,11821156,B90
GRAINGER COUNTY IMAGINATION LIBRARY,PO BOX 158,RUTLEDGE,37861-0158,2000,8/1/22,0,0,0,B92
GREATER MEMPHIS ADVENTIST ACADEMY,3333 OLD BROWNSVILLE RD,MEMPHIS,38134-8419,2000,,,,,B24
GREENPEAS INC,3307 WEXGATE RD,KNOXVILLE,37931-1428,1000,12/1/22,0,0,0,B90
GREENWOOD SCHOOL EDUCATION FOUNDATION,PO BOX 1656,HARRIMAN,37748-1656,2000,12/1/18,0,0,0,B60
GROW BEYOND MEASURE INC,3013 LAKE DR,HERMITAGE,37076-3525,2000,12/1/22,0,0,0,B99
HALLS SWIM TEAM,7916 GRIFFITH RD,KNOXVILLE,37938-3005,1200,6/1/22,0,0,0,B94
HAMILTON COUNTY EDUCATION ASSOCIATION,4655 SHALLOWFORD RD,CHATTANOOGA,37411-1130,2000,6/1/21,382786,667511,667511,B00C
HAMILTON HEIGHTS CHRISTIAN ACADEMY,5545 NORTH TERRACE,CHATTANOOGA,37411-0000,1200,,,,,B20
HAMILTON LEARNING FOUNDATION,3622 HILLVALE CIR,KNOXVILLE,37919-6620,1000,12/1/19,0,0,0,B90
HAMPSHIRE SCHOOL PARENT-TEACHER ORGANIZATION,4235 OLD STATE RD,HAMPSHIRE,38461-4536,1000,5/1/22,0,0,0,B94
HARDIN VALLEY ACADEMY ATHLETIC COUNCIL,11345 HARDIN VALLEY RD,KNOXVILLE,37932-1420,1000,6/1/22,150399,410121,410121,B112
HARPETH FOOTBALL BOOSTER CLUB,170 E KINGSTON SPRINGS RD,KINGSTON SPGS,37082-8983,1000,12/1/21,0,0,0,B11
HAWKINS COUNTY LITERACY COUNCIL,256 LAKESHORE CIR,ROGERSVILLE,37857-8014,1200,6/1/18,0,0,0,B90
HAWKS DUGOUT CLUB,1237 ROSSVIEW RD,CLARKSVILLE,37043-1914,1000,12/1/21,116856,117134,80599,B11
HAWKS FOOTBALL BOOSTER CLUB INC,1237 ROSSVIEW RD,CLARKSVILLE,37043-1914,1000,12/1/22,0,0,0,B11
HEALTH OCCUPATIONS STUDENTS OF AMERICA,GATEWAY PLAZA 710 JAMES ROBERTSON P,NASHVILLE,37243-0383,1000,6/1/22,488292,282930,282930,B54C
HELLO WORLD WORKSHOP INC,695 NASHVILLE PIKE 205,GALLATIN,37066-5417,1200,12/1/21,0,0,0,B90
HENDERSONVILLE SOCCER FOUNDATION INC,123 CHEROKEE RD,HENDERSONVLLE,37075-3701,1000,6/1/22,247617,124658,109665,B112
HENRY COUNTY LITERACY COUNCIL,PO BOX 642,PARIS,38242-0642,1200,6/1/22,0,0,0,B60
HENRY COUNTY PROJECT BRIDGE INC,330 WATERS RD,BIG SANDY,38221-5090,2000,,,,,B92
HERITAGE ELEMENTARY SCHOOL PTO,4801 COLUMBIA PIKE,THOMPSONS STN,37179-5207,2000,6/1/22,11720,24910,24910,B94
HICKMAN COUNTY BAND BOOSTERS,PO BOX 125,CENTERVILLE,37033-0125,1200,12/1/21,0,0,0,B112
HIGHLAND PARK ALUMNI ASSOCIATION,6877 HICKORY CREEK RD,LENOIR CITY,37771-6918,1000,12/1/18,0,0,0,B84
HIGHLANDS EDUCATIONAL LITERACY PROG,780 OAK GROVE RD,JOHNSON CITY,37615-2828,1200,6/1/17,14828,120775,120775,B90
HILLCREST BOOSTER CLUB,605 S MAIN ST,TROY,38260-5814,1000,12/1/21,0,0,0,B11
HILLSBORO HIGH SCHOOL MARCHING BAND,3812 HILLSBORO PIKE,NASHVILLE,37215-2604,1000,12/1/22,0,0,0,B11
HILLWOOD BAND BOOSTERS,PO BOX 58405,NASHVILLE,37205-8405,1000,6/1/22,16024,35535,31215,B112
HODGES FOUNDATION FOR PHILOSOPHICAL ORIENTATION INC,150 3RD AVE S STE 2800,NASHVILLE,37201-2017,1200,12/1/21,28520,165000,,B99
HOMEBOUND,1511 UNION AVE,CHATTANOOGA,37404-3410,1300,12/1/20,0,0,0,B92
HOMESCHOOL INSPIRE,357 MAGNOLIA VALE DR,CHATTANOOGA,37419-2164,1200,11/1/22,0,0,0,B20
HONOR SOCIETY OF PHI KAPPA PHI,135 MADISON TER,CLARKSVILLE,37040-3555,1000,6/1/22,0,0,0,B830
HONOR SOCIETY OF PHI KAPPA PHI,1301 E MAIN ST MTSU BOX 267,MURFREESBORO,37132-0002,1000,6/1/22,0,0,0,B830
HOUSTON HIGH SCHOOL PTSO,9755 WOLF RIVER BLVD,GERMANTOWN,38139-5557,1000,6/1/22,0,0,0,B94
HOUSTON HIGH SCHOOL THEATRE BOOSTER CLUB,9755 WOLF RIVER BLVD,GERMANTOWN,38139-5557,1000,12/1/21,0,0,0,B11
HOW TO LOVE LEARNING INC,8997 PEMBROKE ELLIS DR,BARTLETT,38133-3817,2000,12/1/22,0,0,0,B92
HOWARD ELEMENTARY PTO,805 LONG HOLLOW PIKE,GALLATIN,37066-6606,2000,6/1/22,0,0,0,B94
HPS AERO LLC,5236 TONI ROSE DR,LAKELAND,38002-5339,1200,,,,,B99
HUMBOLDT AREA TEENAGE COUNSELING CENTER,1613 E MITCHELL ST,HUMBOLDT,38343-2911,1250,,,,,B80
HUNTLAND DUGOUT CLUB,400 GORE ST,HUNTLAND,37345-3246,2000,,,,,B11
I AM JCM COALITION,541 WISDOM ST,JACKSON,38301-4331,1200,12/1/21,0,0,0,B84
IEBA EDUCATIONAL OUTREACH FUND,412 E IRIS DR,NASHVILLE,37204-3108,1000,12/1/21,359424,3475,3475,B82
IKE SERVICES,723 LAKE ST,LEBANON,37087,,,,,,B99
IMAGINE GOODLETTSVILLE INC,100 N MAIN ST,GOODLETTSVILLE,37072-1559,1000,12/1/22,0,0,0,B90
INDIAN LAKE ELEMENTARY SCHOOL PTO,505 INDIAN LAKE RD,HENDERSONVLLE,37075-4600,2000,6/1/22,131230,208286,126830,B94Z
INSTITUTE FOR EDUCATIONAL VOLUNTEER PROGRAMS,816 ALEX WAY,MOUNT JULIET,37122-7631,1200,12/1/19,1,45000,,B60
INTELLIGENT EDUCATIONAL SOLUTIONS,PO BOX 343287,MEMPHIS,38184-3287,2000,,,,,B01
INTERNATIONAL PROMISE FOUNDATION,281 W OLD ANDREW JOHNSON HWY,JEFFERSON CTY,37760-1805,1200,12/1/21,0,0,0,B90
INTERNATIONAL SEWING CLUB INC,2505 CARTER AVE,NASHVILLE,37206-1311,1200,12/1/21,0,0,0,B60
INTERNATIONAL SOCIETY FOR CNS CLINICAL TRIALS AND METHODOLOGY IN,PO BOX 128061,NASHVILLE,37212-8061,2000,12/1/21,5473125,786223,786223,B60
INTREPID COLLEGE PREPARATORY INCORPORATED,5432 BELL FORGE LN E,ANTIOCH,37013-2322,2000,6/1/22,14332039,15003846,15003846,B29
INVICTUS NASHVILLE CHARTER SCHOOL,2729 SMITH SPRINGS RD,NASHVILLE,37217-3415,2000,12/1/22,0,0,0,B29
INVOCATION INC,3490 CLEAR CREEK RD,PULASKI,38478-6116,1200,,,,,B90
ISAIAHS TRANSITION,438 BROOK RIDGE CIR,CORDOVA,38018-6730,2000,12/1/19,0,0,0,B28
ISHA FOUNDATION INC,951 ISHA LN,MCMINNVILLE,37110-8627,1000,12/1/21,77293567,31899315,29444562,B60
ISOW INC,340 PAUL HUFF PKWY NW,CLEVELAND,37312-2955,2700,12/1/21,239405,816589,816589,B99
IVY ACADEMYS SKILLERN ELEMENTARY INC,PO BOX 39,SODDY DAISY,37384-0039,2000,6/1/22,159709,305304,305304,B20
IVY ENRICHMENT FOUNDATION INC,PO BOX 331211,MURFREESBORO,37133-1211,2000,12/1/22,0,0,0,B82
J MARLIN GOODMAN SCHOLARSHIP FUND,1309 BEVERLY DR,PULASKI,38478-4704,1000,12/1/16,0,0,0,B82
JAMES H FYKE MUNICIPAL AMATEUR MEMORIAL SCHOLARSHIP,6324 CHICKERING WOODS DR,NASHVILLE,37215-5302,1200,12/1/22,0,0,0,B82
JAMES MICHAEL KIMSEY SCHOLARSHIP FUND INC,138 CAMPBELL COVE RD,TURTLETOWN,37391-9757,1200,12/1/17,0,0,0,B12
JOHN A GUPTON COLLEGE,1616 CHURCH STREET,NASHVILLE,37203-2954,2000,12/1/21,6054249,2120857,2115148,B41Z
JOHN ADAMS ELEMENTARY SCHOOL PTO,2727 EDINBURGH CHANNEL RD,KINGSPORT,37664-5675,1000,6/1/22,68127,62852,62852,B94
JOURNEY EDUCATIONAL SERVICES INC,4007 MEADOW LN,CHATTANOOGA,37406-1429,1200,12/1/16,0,0,0,B90
JT MOORE PTO,4425 GRANNY WHITE PIKE,NASHVILLE,37204-4117,2000,6/1/22,128616,165845,145509,B94
JW COMMUNITY RESOURCES INC,2095 EXETER RD STE 80 # 173,GERMANTOWN,38138-3919,2000,12/1/21,0,0,0,B29
KAPPA DELTA FOUNDATION INC,3205 PLAYERS LN,MEMPHIS,38125-8897,1000,7/1/22,41131121,12678565,5333292,B820
KAPPA ZETA LAMBDA EDUCATION FOUNDATION INC,PO BOX 31484,CLARKSVILLE,37040-0025,1000,12/1/22,0,0,0,B82
KARNS HIGH ALUMNI ASSOCIATION,7521 GLASTONBURY RD,KNOXVILLE,37931-1820,1200,,,,,B84
KARNS HIGH SCHOOL BOYS SOCCER BOOSTER CLUB,3305 LANDS END LN,KNOXVILLE,37931-3588,1000,6/1/20,0,0,0,B11
KENTON SCHOOL BOOSTER CLUB,101A TOMMY WADE DR,KENTON,38233-3632,1000,7/1/22,0,0,0,B112
KENWOOD ELEMENTARY PTO,1101 PEACHERS MILL RD,CLARKSVILLE,37042-5428,2000,12/1/20,0,0,0,B94
KERMIT TIPTON FOOTBALL SCHOLARSHIP FUND,1008 LESTER HARRIS RD,JOHNSON CITY,37601-3366,1200,12/1/21,0,0,0,B82
KIDS CHRISTMAS INC,153 SANDPIPER LOOP,CROSSVILLE,38555-5827,1000,12/1/18,0,0,0,B90
KIDS EDUCATIONAL ENRICHMENT PROGRAM,201 N SYCAMORE ST,ELIZABETHTON,37643-2739,1000,6/1/22,0,0,0,B92
KIDS PLACE AT SEQUOYAH INC,942 SOUTHGATE RD,KNOXVILLE,37919-7683,2000,6/1/22,171658,462833,462833,B900
KIPP NASHVILLE,3410 KNIGHT DR,NASHVILLE,37207-2306,2000,6/1/22,110301392,59890490,59890490,B29
KNOX AREA ASSOCIATION ON EDUCATION OF YOUNG CHILDREN INCORPORATED,PO BOX 50982,KNOXVILLE,37950-0982,1000,12/1/16,51127,5045,5045,B99
KNOXVILLE JEWISH ALLIANCE INC,6800 DEANE HILL DR,KNOXVILLE,37919-5943,1200,12/1/20,2158742,1396128,1390372,B99
KNOXVILLE LEGO USER GROUP,5810 SHELBY OAKS DR STE B,MEMPHIS,38134-7315,1200,,,,,B03
LAB SCHOOL OF MEMPHIS INC,1738 GALLOWAY AVE,MEMPHIS,38112-5013,2000,,,,,B20
LADIES AUXILIARY COURT 5 KDS,1700 HEIMAN ST,NASHVILLE,37208-2406,2000,,,,,B20
LADY TROJAN ROUNDBALL CLUB,PO BOX 1779,MORRISTOWN,37816-1779,2000,12/1/22,0,0,0,B11
LAKELAND MIDDLE BAND BOOSTERS,5020 LIONS CREST DR,LAKELAND,38002-2542,1200,6/1/22,0,0,0,B94
LAKELAND PREP LACROSSE,5020 LIONS CREST DR,LAKELAND,38002-2542,2000,,,,,B11
LANDMARK TRAINING DEVELOPMENT COMPANY,2411 CARNES AVE,MEMPHIS,38114-2426,1200,5/1/22,488071,83489,69540,B30
LANE COLLEGE,545 LANE AVE,JACKSON,38301-4501,2700,6/1/22,65638607,34131294,34131294,B42Z
LARRY CORUM SCHOLARSHIP FUND INC,213 ESSEX DR,KNOXVILLE,37922-3504,1200,12/1/22,0,0,0,B82
LASCASSAS ELEMENTARY SCHOOL PARENT- TEACHER ORGANIZATION,6300 LASCASSAS PIKE,LASCASSAS,37085-4574,1200,6/1/22,38430,81943,44082,B94
LATINOS ENTREPRENEURS OF MEMPHIS,5560 SHELBY OAKS DR,MEMPHIS,38134-7315,2000,6/1/18,1,0,0,B11
LAWRENCE COUNTY EDUCATION FOUNDATION INC,PO BOX 961,LAWRENCEBURG,38464-0961,1200,6/1/22,3314378,583745,583745,B20J
LEADER LABS INC,3313 AUTUMN RIDGE DR NW,CLEVELAND,37312-1763,1000,12/1/22,112168,213286,213286,B99
LEADERSHIP COCKE COUNTY INC,115 MULBERRY ST,NEWPORT,37821-3522,2000,12/1/22,0,0,0,B60
LEADERSHIP OAK RIDGE INCORPORATED,1400 OAK RIDGE TPKE,OAK RIDGE,37830-6214,2100,12/1/21,20777,40228,40228,B80Z
LEADERSHIP PREPARATORY INC,4190 ELLISTON RD,MEMPHIS,38111-7902,2000,6/1/22,4918537,4920465,4906664,B29
LEADERSHIP SEVIER INC,122 BRUCE ST,SEVIERVILLE,37862-3558,2000,12/1/21,430414,362328,352003,B99Z
LEE ROBERSON FOUNDATION,1700 W BEAVER CREEK DR,POWELL,37849-4852,1000,12/1/22,140355,232409,232409,B82
LEES TECH SOLUTIONS INC,3725 CHAMPION HILLS DR SUITE 3200,MEMPHIS,38125-2597,2000,,,,,B80
LEMOYNE-OWEN COLLEGE ALUMNI FOUNDATION,1234 PALMINA CV,CORDOVA,38018-8889,1200,6/1/22,92971,35032,35032,B82
LENOIR CITY BAND BOOSTER ASSOCIATION,PO BOX 422,LENOIR CITY,37771-0422,2000,12/1/22,0,0,0,B11
LIBERTY CREEK MIDDLE SCHOOL PTO,100 WOLFPACK WAY,GALLATIN,37066-2725,2000,6/1/22,7939,9200,9200,B94
LIBRARY FRIENDS OF ARLINGTON,5885 AIRLINE RD UNIT 354,ARLINGTON,38002-5099,1230,12/1/22,0,0,0,B70
LIFE CHRISTIAN ACADEMY,103 LOUISE DR,WHITE HOUSE,37188-8023,2000,12/1/22,1176079,1949841,1949841,B20
LILLIE J WALTON FOUNDATION,2515 KEEN RD,MEMPHIS,38106-8525,1000,,,,,B12
LINCOLN COUNTY HIGH SCHOOL HOSA,11 ROBINWOOD DR,FAYETTEVILLE,37334-7925,2000,,,,,B84
LINCOLN COUNTY LITERACY COUNCIL,1600 WILSON PKWY STE A,FAYETTEVILLE,37334-2775,2100,12/1/19,4377,15094,15094,B60
LIVING TREE ACADEMY,2817 WEST END AVE STE 126 # 211,NASHVILLE,37203-1453,1000,5/1/22,2183,103175,103175,B20
LOBELVILLE FRIENDS OF THE LIBRARY,PO BOX 305,LOBELVILLE,37097-0305,1230,12/1/22,0,0,0,B99
LOVE CHAPEL ELEMENTARY SCHOOL PTO,650 S MOHAWK DR,ERWIN,37650-2167,2000,12/1/21,0,0,0,B94
LOVE-EXTENDEDGROUPINC,1409 POTTER DR,COLUMBIA,38401-9219,1270,12/1/22,0,0,0,B12
LPS HS DANCE BOOSTERS,3096 WOODLAND PINE DR,LAKELAND,38002-3871,1200,,,,,B12
MACON COUNTY BAND BOOSTERS,PO BOX 424,LAFAYETTE,37083-0424,1000,6/1/22,0,0,0,B11
MADDOX FOOTBALL SCHOLARSHIP FOUNDATION,PO BOX 889,HUNTINGDON,38344-0889,1000,12/1/22,29383,632,,B82
MADISON CREEK ELEMENTARY PTO,1040 MADISON CREEK RD,GOODLETTSVLLE,37072-8449,1200,6/1/21,83173,98069,54823,B11
MARSHALL COUNTY MEMORIAL LIBRARYFOUNDATION INC,PO BOX 1201,LEWISBURG,37091-0201,2000,12/1/21,985949,52354,52354,B117
MARY ELIZABETH ROARK SCHOLARSHIP FUND TR,PO BOX 119,WESTMORELAND,37186-0119,2000,12/1/22,222613,703,,B82Z
MAURY COUNTY STUDENTS IN TRANSITION,222 W 7TH ST,COLUMBIA,38401-3234,1200,12/1/22,0,0,0,B80
MAXINE SMITH STEAM ACADEMY PTO,750 E PARKWAY S,MEMPHIS,38104-5556,1200,5/1/20,0,0,0,B94
MCCLAIN CHRISTIAN ACADEMY,3521 LEBANON RD,LEBANON,37087-4419,2000,6/1/19,264728,386215,371765,B24
MCKENZIE FOUNDATION,1407 -A MARKET STREET,CHATTANOOGA,37402-4468,1000,12/1/22,19104367,485100,,B01
MCKENZIE PROJECT GRADUATION,119 CHESAPEAKE DR,MC KENZIE,38201-8671,1000,6/1/22,682,14890,9472,B112
MCKENZIE TRAP TEAM INC,160 DEERWOOD CIR,MC KENZIE,38201-6807,2000,8/1/17,0,0,0,B90
MCMA SCHOLARSHIP FUND INC,4444 HIGHWAY 47 E,WHITE BLUFF,37187-9114,1000,12/1/22,0,0,0,B82
MEDIA ARTS TRAINING CENTER,PO BOX 752055,MEMPHIS,38175-2055,2100,12/1/22,0,0,0,B60
MEDICAL EDUCATIION & RESEARCH INSTUTUTE,44 S CLEVELAND ST,MEMPHIS,38104-3503,2000,12/1/22,26497278,16533257,16524013,B54Z
MEIGS QUEST FOR SUCCESS,2821 KENSINGTON ST,ATHENS,37303-5026,1200,,,,,B11
MEMPHIS AREA GEOGRAPHIC INFORMATION COUNCIL,PO BOX 17683,MEMPHIS,38187-0683,2000,12/1/22,0,0,0,B99
MEMPHIS BUSINESS ACADEMY,2450 FRAYSER BLVD,MEMPHIS,38127-5823,2000,6/1/22,45128254,24842541,24582080,B29
MEMPHIS DATA PROFESSIONALS,701 W WHITE RD,COLLIERVILLE,38017-2002,2000,12/1/22,0,0,0,B60
MEMPHIS EDUCATION FUND INC,1350 CONCOURSE AVE STE 434,MEMPHIS,38104-2025,1000,12/1/20,2536598,5955711,5955711,B90
MEMPHIS HIGHTAILERS FOUNDATION,PO BOX 17096,MEMPHIS,38187-0096,1200,12/1/22,17956,14342,14342,B01
MEMPHIS LIFT PARENT INSTITUTE,1637 BRITTON ST,MEMPHIS,38108-1309,1200,12/1/21,1693218,856155,856155,B01
MEMPHIS NSBE JR,5366 MAPLE RIDGE CV,MEMPHIS,38134-6216,2000,7/1/22,0,0,0,B03
MEMPHIS PLUMBERS JOINT APPRENTICESHIP COMMITTEE,4229 PRESCOTT RD,MEMPHIS,38118-6897,2000,10/1/22,595192,453757,453757,B30
MEMPHIS RISE ACADEMY INC,5221 RALEIGH LAGRANGE RD,MEMPHIS,38134-5631,2000,6/1/22,18757324,10468134,10468134,B99
MERROL HYDE MAGNET SCHOOL PTO,128 TOWNSHIP DR,HENDERSONVLLE,37075-2210,2000,6/1/21,80401,58926,52323,B94
MID-SOUTH CHRISTIAN COLLEGE,3097 KNIGHT RD,MEMPHIS,38118-3151,2000,6/1/22,2578681,1679441,1679092,B42Z
MID-SOUTH FLY FISHERS,2498 GROVEWOOD CV,GERMANTOWN,38138-6104,2000,12/1/20,0,0,0,B19
MIDDLE TENNESSEE HOME EDUCATION ASSOCIATION,PO BOX 11386,MURFREESBORO,37129-0028,2000,6/1/22,381752,396420,396420,B90
MIDDLE TENNESSEE NETWORK ASSOCIATION,PO BOX 331312,MURFREESBORO,37133-1312,1000,12/1/22,0,0,0,B82
MIDDLE TENNESSEE SCHOOL OF ANESTHESIA INC,315 HOSPITAL DR,MADISON,37115-5030,2000,12/1/21,22533334,7993345,7937391,B50
MIDNIGHT BASKETBALL LEAGUE PROGRAM NASHVILLE CHAPTER,PO BOX 1214,MEMPHIS,38101-1214,2000,12/1/19,0,0,0,B60
MIGHTY RIVER RISING,850 RIDGE LAKE BLVD STE 1,MEMPHIS,38120-9452,1000,12/1/21,72485,45000,45000,B90
MINFORD HIGH SCHOOL TOUCH DOWN CLUB,PO BOX 147,MUNFORD,38058-0147,1000,12/1/22,175283,188929,95154,B11
MIRANDA GENESE HILL SCHOLARSHIP FUND,PO BOX 1729,NEWPORT,37822-1729,1200,12/1/21,6,44833,,B82
MIRIAM BEZA MEMORIAL FOUNDATION INC,501 OWENWOOD PL,PARIS,38242-5156,1000,1/1/23,0,0,0,B197
MISS MARY PROJECT,375 BANBERRY DR,MC DONALD,37353-7008,1200,12/1/17,0,0,0,B60
MISSION DEGREE INC,5401 KINGSTON PIKE STE 400,KNOXVILLE,37919-5035,1000,12/1/20,58288,136447,136447,B02
MISSISSIPPI STATE UNIVERSITY ALUMNI ASSOCIATION OF MEMPHIS,4975 SEQUOIA AVE,MEMPHIS,38117-2015,1000,12/1/22,0,0,0,B84
MOMMY ANGELS,1419 WALNUT HALL CT APT 8,MEMPHIS,38119-6110,1000,,,,,B11
MONTESSORI ACADEMY INCORPORATED,100 MONTESSORI DR,BRENTWOOD,37027-1520,2000,6/1/22,8760230,4466395,4466395,B21Z
MONTESSORI SCHOOL OF FRANKLIN,PO BOX 682664,FRANKLIN,37068-2664,2000,6/1/22,1174894,918831,918831,B21
MOORE COUNTY DIAMOND CLUB,1502 LYNCHBURG HWY,LYNCHBURG,37352-5201,1200,12/1/22,0,0,0,B11
MOUNT JULIET HIGH SCHOOL BASEBALL BOOSTER CLUB INC,PO BOX 1116,MOUNT JULIET,37121-1116,1200,12/1/22,35643,127564,127564,B11
MOUNT OLIVE ELEMENTARY PTO,2507 MARYVILLE PIKE,KNOXVILLE,37920-4826,1000,7/1/22,0,0,0,B94
MOUNT PLEASANT FORWARD FOUNDATION,205 N MAIN ST,MT PLEASANT,38474-1336,1000,6/1/22,0,0,0,B01
MOUNTAIN HERITAGE PRESERVATION SOCIETY,PO BOX 297,TRACY CITY,37387-0297,2000,12/1/20,0,0,0,B99
MT JULIET MIDDLE SCHOOL PARENT TEACHER ORGANIZATION MJMS PTO,3565 N MT JULIET RD,MOUNT JULIET,37122-3047,1200,5/1/22,0,0,0,B112
MULTINATIONAL MEMPHIS,475 S PRESCOTT ST,MEMPHIS,38111-8204,2000,9/1/21,176743,496832,496129,B90
MUNFORD HIGH SCHOOL BAND BOOSTERS,PO BOX 1304,MUNFORD,38058-1304,2000,6/1/22,147284,266232,266232,B112
MUSLIM COMMUNITY CENTER OF MEMPHIS INC,1888 BARTLETT RD,MEMPHIS,38134-6407,2000,12/1/21,5133130,3577988,3577988,B20Z
MYSTIC MOUNTAIN HOLLOW INC,268 WATSON CUT RD,NEW TAZEWELL,37825-4002,2000,12/1/22,0,0,0,B01
NACTT ACADEMY FOR CONSUMER BANKRUPTCY EDUCATION INC,PO BOX 85,HARTSVILLE,37074-0085,1200,12/1/22,216378,180886,180886,B60
